#Protein type, x, y, z, NP 
1HZH-P5:47.5-37.5,-1.499162226790944,9.466944272273723,-11.972560275535312,7.0
1HZH-P5:47.5-37.5,-11.504244952953693,-3.943476506585113,9.344199371393465,6.0
1HZH-P5:47.5-37.5,-2.586581509285267,-14.451609703748295,4.435458697164356,8.0
1HZH-P5:47.5-37.5,14.639043388282158,-1.8996473089444028,4.159623728837971,8.0
1HZH-P5:47.5-37.5,9.382339339835026,-7.657859197762625,9.409655775177198,7.0
1HZH-P5:47.5-37.5,-7.209647891071801,-4.456256281785449,12.78184173058448,7.0
1HZH-P5:47.5-37.5,1.998700478007322,10.679378164711775,-10.824453759991306,5.0
1HZH-P5:47.5-37.5,9.730223836119457,-11.3796788278383,3.322404951561557,6.0
1HZH-P5:47.5-37.5,-0.18148481048054235,-12.128936991987162,-9.38449100888639,1.0
1HZH-P5:47.5-37.5,0.9315909934085342,5.483800601499288,14.292403225906247,6.0
1HZH-P5:47.5-37.5,9.346494659107629,1.8352958427153978,12.020293155530085,2.0
1HZH-P5:47.5-37.5,-3.9097506938087494,-12.020427085339206,-8.685384446655473,6.0
1HZH-P5:47.5-37.5,-9.342576029191314,-3.621510764885087,-11.61092820176322,3.0
1HZH-P5:47.5-37.5,-14.597477841041028,3.3869103728759264,-3.2642303218861377,6.0
1HZH-P5:47.5-37.5,-6.04583854324765,8.652955462815136,11.125956986049246,2.0
1HZH-P5:47.5-37.5,-5.720486886808305,12.75307900788753,6.312505555192149,5.0
1HZH-P5:47.5-37.5,-15.02287475795368,-2.6635287925669906,-1.5593489557837483,7.0
1HZH-P5:47.5-37.5,-9.283813190211465,4.182227531424382,-11.468762196181013,8.0
3GHG-P3:92.5-102.5,0.4102140229814915,1.661075997455969,25.92029544405361,5.0
3K2S-P4:67.5-22.5,-0.7324518511228956,-16.563964795886527,-10.724440862598538,0.0
1HZH-P5:47.5-37.5,7.596068793934835,-10.506720231447392,8.192758366008519,8.0
1HZH-P5:47.5-37.5,-0.4574557538186981,-15.206769939224884,-1.9384537747090742,4.0
1HZH-P5:47.5-37.5,11.003999550567524,-1.34813988164725,-10.597510723680397,2.0
1HZH-P5:47.5-37.5,9.175935752321756,-6.279162449565243,-10.56347683242276,9.0
3GHG-P3:92.5-102.5,6.303365067889815,-8.14425140799086,-23.848017165905986,5.0
3K2S-P4:67.5-22.5,-10.918772838987866,-15.036270961777772,6.6787725326989635,5.0
1HZH-P5:47.5-37.5,11.31363029296983,-6.977501044786172,-7.650422834843992,0.0
1HZH-P5:47.5-37.5,-12.388221770375743,-5.055741846304241,7.495609150657188,4.0
1HZH-P5:47.5-37.5,-14.2218029676812,-1.2429873277860397,-5.604286184637323,5.0
1HZH-P5:47.5-37.5,9.42134368841697,-8.629584418089188,8.484178019330878,4.0
3K2S-P4:67.5-22.5,8.064108289938625,17.35598190674225,4.863650566183149,9.0
1HZH-P5:47.5-37.5,4.078049606420809,14.205812315340852,4.095989337972037,2.0
3GHG-P3:92.5-102.5,2.2485421498838942,-14.067251004803149,-21.72200893768948,8.0
1HZH-P5:47.5-37.5,-5.0784919282333085,-10.844306300475417,9.5824141730692,2.0
1HZH-P5:47.5-37.5,-7.941685784208426,-10.010782435446608,8.480954116309954,1.0
3K2S-P4:67.5-22.5,16.665721436043246,6.398439331509826,-8.439712698081106,1.0
1HZH-P5:47.5-37.5,15.33096325141188,0.3202994529095207,-0.2677589068989719,6.0
1HZH-P5:47.5-37.5,3.7484562319062227,3.1517255750128057,14.533699548469853,7.0
1HZH-P5:47.5-37.5,4.234381567711926,4.215472059505944,-14.124890401077291,9.0
1HZH-P5:47.5-37.5,15.315894702379014,0.6089168687966442,-0.5150830034398826,3.0
1HZH-P5:142.5-332.5,13.4939962138678,7.140788451056893,-3.4893451790372336,5.0
1HZH-P5:47.5-37.5,9.051203548745816,-2.0884107769353477,12.203564050467007,3.0
1HZH-P5:47.5-37.5,4.07239812718921,12.043012642442335,8.578702744327904,0.0
1HZH-P5:142.5-332.5,-15.184727557977002,-3.4407663008573275,1.685081468058648,2.0
3K2S-P4:117.5-67.5,13.761819786150802,1.8651870136575024,-0.7514910636893463,9.0
2A73-P2:57.5-32.5,11.481628136981552,-13.46045310145996,1.155863474970475,3.0
3K2S-P4:107.5-37.5,-6.456903552496474,-2.4069717995116298,-13.94625038133811,6.0
3K2S-P4:117.5-337.5,8.320920601777615,-14.908315281140574,-1.7786330865481943,2.0
1HZH-P5:77.5-357.5,15.25093310544327,-11.961392063443382,0.8716876290789567,5.0
3K2S-P4:67.5-22.5,7.500508218874025,-16.828113474672826,-7.104366307496593,7.0
1HZH-P5:142.5-332.5,-2.2340816084538977,9.751198379178934,-12.04895567415544,1.0
1HZH-P5:142.5-332.5,-5.193185953696492,10.986866758603835,-9.877950282326385,2.0
1HZH-P5:47.5-37.5,9.14767464891691,8.011236556941872,-9.346275094077868,6.0
1HZH-P5:142.5-332.5,-8.369441246600317,11.888322401983867,5.820186164315557,6.0
3K2S-P4:112.5-337.5,7.68505765475528,2.684547407261856,15.545428104228964,4.0
3K2S-P4:52.5-112.5,-5.0371569114498085,14.634863694545713,-4.933879975479099,3.0
3K2S-P4:47.5-112.5,6.712134507881948,-3.5729862405827757,14.741169610784409,1.0
3K2S-P4:117.5-67.5,-9.254732954696927,-10.041451012184316,-2.6363847876140225,7.0
3GHG-P3:107.5-107.5,-23.935992162549265,-4.382265218760971,-20.181072472570555,9.0
3K2S-P4:117.5-67.5,-4.6939788400483335,13.090844729631481,0.1664096002985547,0.0
1HZH-P5:102.5-307.5,-5.461609205707739,5.765205908274514,13.966990482723,9.0
1HZH-P5:142.5-332.5,9.623354650721058,-12.167699844004598,-2.1430000172076675,1.0
3K2S-P4:67.5-17.5,18.345943923220617,-5.637185254702835,-7.075623829475115,4.0
1HZH-P5:107.5-312.5,10.770276774837187,6.990763159161861,-10.01425864838355,3.0
3K2S-P4:102.5-272.5,-4.759275488353354,10.407821624116858,8.796330918390757,7.0
3K2S-P4:67.5-107.5,-8.411222453840102,-5.450973126355075,11.482688033227918,8.0
3GHG-P3:137.5-227.5,-11.57467027095374,14.526285809921534,26.084333157064208,3.0
3K2S-P4:67.5-22.5,-12.877242924331174,-14.728607321099789,2.675778080776352,3.0
